# k [h/Mpc]  P(k) [(Mpc/h)^3]
1.000000000000000021e-03 1.228600472833242966e+05
1.017463402747606233e-03 1.248688440966788330e+05
1.035231775930738887e-03 1.269086369616298034e+05
1.053310445370936972e-03 1.289798213690375705e+05
1.071704829896711394e-03 1.310827942231278575e+05
1.090420442967752687e-03 1.332179536718992749e+05
1.109462894327521839e-03 1.353856989289836201e+05
1.128837891684689567e-03 1.375864300867305428e+05
1.148551242423937954e-03 1.398205479202884890e+05
1.168608855346650946e-03 1.420884536824567476e+05
1.189016742441989819e-03 1.443905488890801207e+05
1.209781020688901381e-03 1.467272350947629311e+05
1.230907913889601850e-03 1.490989136586795794e+05
1.252403754535073117e-03 1.515059855002599652e+05
1.274274985703133418e-03 1.539488508445316402e+05
1.296528162989668987e-03 1.564279089569066709e+05
1.319169956473571596e-03 1.589435578671972034e+05
1.342207152716011920e-03 1.614961940826599894e+05
1.365646656794610976e-03 1.640862122898595990e+05
1.389495494373137402e-03 1.667140050451629795e+05
1.413760813807361360e-03 1.693799624536686460e+05
1.438449888287662891e-03 1.720844718363868596e+05
1.463570118019079727e-03 1.748279173855009140e+05
1.489129032439410159e-03 1.776106798075317638e+05
1.515134292476052937e-03 1.804331359542519785e+05
1.541593692842271792e-03 1.832956584411974763e+05
1.568515164373547686e-03 1.861986152536318114e+05
1.595906776404730889e-03 1.891423693398370815e+05
1.623776739188721036e-03 1.921272781916079693e+05
1.652133406357370136e-03 1.951536934118442587e+05
1.680985277425363789e-03 1.982219602691410400e+05
1.710341000337841288e-03 2.013324172393016634e+05
1.740209374062484920e-03 2.044853955336953804e+05
1.770599351226898131e-03 2.076812186144143925e+05
1.801520040802025635e-03 2.109202016961828922e+05
1.832980710832435561e-03 2.142026512349990080e+05
1.864990791214298036e-03 2.175288644035023754e+05
1.897559876521850378e-03 2.208991285530697496e+05
1.930697728883249645e-03 2.243137206626762636e+05
1.964414280906628518e-03 2.277729067745550710e+05
1.998719638657250712e-03 2.312769414167267678e+05
2.033624084686672540e-03 2.348260670124770259e+05
2.069138081114790112e-03 2.384205132768835174e+05
2.105272272765707203e-03 2.420604966005129390e+05
2.142037490358383086e-03 2.457462194204312109e+05
2.179444753752985808e-03 2.494778695786878816e+05
2.217505275253931884e-03 2.532556196684557362e+05
2.256230462970635047e-03 2.570796263680323027e+05
2.295631924236909462e-03 2.609500297629251436e+05
2.335721469090121152e-03 2.648669526562721003e+05
2.376511113811075136e-03 2.688304998678595293e+05
2.418013084525720731e-03 2.728407575220303843e+05
2.460239820869777449e-03 2.768977923247973085e+05
2.503203979717325348e-03 2.810016508304871968e+05
2.546918438974539890e-03 2.851523586982745910e+05
2.591396301439659842e-03 2.893499199389813584e+05
2.636650898730358294e-03 2.935943161525339819e+05
2.682695795279724585e-03 2.978855057565016905e+05
2.729544792402007272e-03 3.022234232061437215e+05
2.777211932429354997e-03 3.066079782064300380e+05
2.825711502920826793e-03 3.110390549165047705e+05
2.875058040944880079e-03 3.155165111470892443e+05
2.925266337436644749e-03 3.200401775513342582e+05
2.976351441631319098e-03 3.246098568096459494e+05
3.028328665574945688e-03 3.292253228090328630e+05
3.081213588714002208e-03 3.338863198175305733e+05
3.135022062565115310e-03 3.385925616542709759e+05
3.189770215466321626e-03 3.433437308557849028e+05
3.245474457411332263e-03 3.481394778391305008e+05
3.302151484968175559e-03 3.529794200624487130e+05
3.359818286283781062e-03 3.578631411835639155e+05
3.418492146175927237e-03 3.627901902172434493e+05
3.478190651314130161e-03 3.677600806917415466e+05
3.538931695490991555e-03 3.727722898052560631e+05
