# l  D_l^TT  D_l^TE  D_l^EE  [uK^2]
2.000000000000000000e+00 5.402148223980051625e+03 3.310707954441195398e+02 5.636022881367331649e+01
3.000000000000000000e+00 5.409043728578544687e+03 3.275796309840619642e+02 5.510750966360124892e+01
4.000000000000000000e+00 5.414937032796012318e+03 3.241718718708474967e+02 5.390818944983860916e+01
5.000000000000000000e+00 5.419826109360296869e+03 3.208525247854415170e+02 5.276222099706972557e+01
6.000000000000000000e+00 5.423709399068774474e+03 3.176265158648175202e+02 5.166953921780755365e+01
7.000000000000000000e+00 5.426585809319685723e+03 3.144986702359861397e+02 5.063006109371102781e+01
8.000000000000000000e+00 5.428454712478413967e+03 3.114736903587758547e+02 4.964368566717307374e+01
9.000000000000000000e+00 5.429315944078575740e+03 3.085561332917790196e+02 4.871029404307394373e+01
1.000000000000000000e+01 5.429169800857778682e+03 3.057503870319550856e+02 4.782974940059511937e+01
1.100000000000000000e+01 5.428017038628130649e+03 3.030606461160398908e+02 4.700189701498787542e+01
1.200000000000000000e+01 5.425858869981624593e+03 3.004908867100987777e+02 4.622656428919080440e+01
1.300000000000000000e+01 5.422696961830702094e+03 2.980448414510116208e+02 4.550356079518933683e+01
1.400000000000000000e+01 5.418533432784303841e+03 2.957259743389464575e+02 4.483267832501005046e+01
1.500000000000000000e+01 5.413370850359967335e+03 2.935374560113555731e+02 4.421369095124126147e+01
1.600000000000000000e+01 5.407212228032520215e+03 2.914821397550463757e+02 4.364635509697078675e+01
1.700000000000000000e+01 5.400061022120066809e+03 2.895625386317616403e+02 4.313040961502994008e+01
1.800000000000000000e+01 5.391921128508079164e+03 2.877808041029089736e+02 4.266557587643276150e+01
1.900000000000000000e+01 5.382796879212498425e+03 2.861387065392335103e+02 4.225155786789699874e+01
2.000000000000000000e+01 5.990226831613327704e+03 3.005508192697566301e+02 4.188804229833286996e+01
2.100000000000000000e+01 5.977875267983571575e+03 2.991157146628365808e+02 4.157469871418375362e+01
2.200000000000000000e+01 5.964443573848615415e+03 2.978310795401648079e+02 4.131117962350159445e+01
2.300000000000000000e+01 5.949938482311200460e+03 2.966970209398600105e+02 4.109712062863846427e+01
2.400000000000000000e+01 5.934367190923528142e+03 2.957131832258299369e+02 4.093214056743361340e+01
2.500000000000000000e+01 5.917737356805409036e+03 2.948787465122090907e+02 4.081584166277438896e+01
2.600000000000000000e+01 5.900057091592913821e+03 2.941924289471696738e+02 4.074780968040726492e+01
2.700000000000000000e+01 5.881334956219347077e+03 2.936524928643594876e+02 4.072761409487341666e+01
2.800000000000000000e+01 5.861579955530506595e+03 2.932567547304811910e+02 4.075480826344227836e+01
2.900000000000000000e+01 5.840801532736190893e+03 2.930025987396649043e+02 4.082892960791377845e+01
3.000000000000000000e+01 5.819009563700128638e+03 2.928869938322455369e+02 4.094949980415911028e+01
3.100000000000000000e+01 5.796214351070470002e+03 2.929065138500142211e+02 4.111602497926740085e+01
3.200000000000000000e+01 5.772426618253171910e+03 2.930573604842388136e+02 4.132799591616431911e+01
3.300000000000000000e+01 5.747657503230630937e+03 2.933353886284662053e+02 4.158488826556681772e+01
3.400000000000000000e+01 5.721918552228011322e+03 2.937361337164546740e+02 4.188616276513618430e+01
3.500000000000000000e+01 5.695221713229811030e+03 2.942548406070040414e+02 4.223126546569008610e+01
3.600000000000000000e+01 5.667579329349307955e+03 2.948864935718058859e+02 4.261962796433232370e+01
3.700000000000000000e+01 5.639004132053521971e+03 2.956258469489941376e+02 4.305066764435748183e+01
3.800000000000000000e+01 5.609509234246527740e+03 2.964674560426355470e+02 4.352378792178572553e+01
3.900000000000000000e+01 5.579108123213912222e+03 2.974057078753799033e+02 4.403837849838136265e+01
4.000000000000000000e+01 5.547814653431322768e+03 2.984348514360702893e+02 4.459381562100696073e+01
4.100000000000000000e+01 5.515643039240067083e+03 2.995490271043598227e+02 4.518946234716372601e+01
4.200000000000000000e+01 5.482607847392843723e+03 3.007422949783384070e+02 4.582466881656603874e+01
4.300000000000000000e+01 5.448723989472715402e+03 3.020086618770033056e+02 4.649877252859781862e+01
4.400000000000000000e+01 5.414006714188471051e+03 3.033421068354235786e+02 4.721109862549587177e+01
4.500000000000000000e+01 5.378471599549705388e+03 3.047366049552184109e+02 4.796096018110403492e+01
4.600000000000000000e+01 5.342134544924825605e+03 3.061861495152900261e+02 4.874765849504056092e+01
4.700000000000000000e+01 5.305011762985432142e+03 3.076847722867437369e+02 4.957048339211997501e+01
4.800000000000000000e+01 5.267119771540446891e+03 3.092265620309131009e+02 5.042871352686828601e+01
4.900000000000000000e+01 5.228475385263457611e+03 3.108056811900386265e+02 5.132161669297043005e+01
5.000000000000000000e+01 5.189095707316866537e+03 3.124163808062247085e+02 5.224845013748620204e+01
5.100000000000000000e+01 5.148998120876349276e+03 3.140530137258554646e+02 5.320846087967036908e+01
5.200000000000000000e+01 5.108200280559292878e+03 3.157100461638566458e+02 5.420088603423149465e+01
5.300000000000000000e+01 5.066720103760874736e+03 3.173820677153218526e+02 5.522495313886222590e+01
5.400000000000000000e+01 5.024575761901511214e+03 3.190637999114470631e+02 5.627988048587335612e+01
5.500000000000000000e+01 4.981785671589411322e+03 3.207501034228401409e+02 5.736487745776236835e+01
5.600000000000000000e+01 4.938368485702061662e+03 3.224359840165384412e+02 5.847914486654667598e+01
5.700000000000000000e+01 4.894343084390472541e+03 3.241165973738905564e+02 5.962187529669007802e+01
5.800000000000000000e+01 4.849728566010044233e+03 3.257872528752849348e+02 6.079225345145098913e+01
5.900000000000000000e+01 4.804544237982001505e+03 3.274434164549107891e+02 6.198945650247924988e+01
6.000000000000000000e+01 4.758809607589294501e+03 3.290807126246825760e+02 6.321265444248840737e+01
6.100000000000000000e+01 4.712544372710972311e+03 3.306949257614767816e+02 6.446101044082872988e+01
6.200000000000000000e+01 4.665768412499006445e+03 3.322820007461835985e+02 6.573368120178632523e+01
6.300000000000000000e+01 4.618501778001607818e+03 3.338380430370223166e+02 6.702981732543304361e+01
6.400000000000000000e+01 4.570764682737070871e+03 3.353593182532891888e+02 6.834856367085068030e+01
6.500000000000000000e+01 4.522577493222245721e+03 3.368422513393867348e+02 6.968905972155340578e+01
6.600000000000000000e+01 4.473960719459681059e+03 3.382834253727306759e+02 7.105043995293144121e+01
6.700000000000000000e+01 4.424935005387621459e+03 3.396795800730675410e+02 7.243183420153866336e+01
6.800000000000000000e+01 4.375521119296907273e+03 3.410276100649233513e+02 7.383236803604712861e+01
6.900000000000000000e+01 4.325739944218970777e+03 3.423245629394039042e+02 7.525116312969016974e+01
7.000000000000000000e+01 4.275612468289065873e+03 3.435676371564167653e+02 7.668733763401738202e+01
7.100000000000000000e+01 4.225159775088895003e+03 3.447541798235967576e+02 7.814000655378256965e+01
7.200000000000000000e+01 4.174403033972792400e+03 3.458816843838104091e+02 7.960828212278777016e+01
7.300000000000000000e+01 4.123363490381650990e+03 3.469477882390847867e+02 8.109127418050547931e+01
7.400000000000000000e+01 4.072062456148771616e+03 3.479502703351400328e+02 8.258809054930129889e+01
7.500000000000000000e+01 4.020521299801815530e+03 3.488870487273978256e+02 8.409783741208011065e+01
7.600000000000000000e+01 3.968761436865032465e+03 3.497561781463702459e+02 8.561961969017886531e+01
7.700000000000000000e+01 3.916804320165952959e+03 3.505558475776738874e+02 8.715254142132901904e+01
7.800000000000000000e+01 3.864671430150715878e+03 3.512843778695661285e+02 8.869570613751280064e+01
7.900000000000000000e+01 3.812384265212188893e+03 3.519402193788104114e+02 9.024821724253803268e+01
